Index,Study field,Institution,Continent,Country,City,N agreements,Agreement_ID,Latitude,Longitude
21,Actuarial Mathematics,Humboldt-Universität zu Berlin,Europe,Germany,Berlin,1,21,52.5183402,13.3929202
22,Actuarial Mathematics,Ilisimatusarfik - University of Greenland,Europe,Greenland,Nuuk,1,22,,
23,Actuarial Mathematics,Karlstad University,Europe,Sweden,Karlstad,1,23,,
24,Actuarial Mathematics,Korea University,Asia,South Korea,Soul,1,24,37.5880378,127.0323927
25,Actuarial Mathematics,Linköping University,Europe,Sweden,Linköping,1,25,58.3977911,15.5754544
26,Actuarial Mathematics,Linnæus University,Europe,Sweden,Väjxö,1,26,,
27,Actuarial Mathematics,Ludwig-Maximilians-Universität München (LMU),Europe,Germany,Muenchen,1,27,,
28,Actuarial Mathematics,Luleå University of Technology,Europe,Sweden,Luleå,1,28,65.6182538,22.1383085
29,Actuarial Mathematics,Lund University,Europe,Sweden,Lund,1,29,55.7126504,13.2107587
30,Actuarial Mathematics,Macquarie University,Australia/Oceania,Australia,North Ryde,1,30,,
31,Actuarial Mathematics,McGill University,North America,Canada,Montreal,1,31,45.5068861,-73.5787118
32,Actuarial Mathematics,McMaster University,North America,Canada,Hamilton,1,32,43.2639397,-79.9178252
33,Actuarial Mathematics,Mid Sweden University,Europe,Sweden,Sundsvall,1,33,62.3930729,17.2834483
34,Actuarial Mathematics,Monash University,Australia/Oceania,Australia,Clayton,1,34,-37.9143766,145.1316672
35,Actuarial Mathematics,Nagoya University,Asia,Japan,"Chikusa Ward, Nagoya",1,35,35.1533087,136.9677806
36,Actuarial Mathematics,National Autonomous University of Mexico,South America,Mexico,Mexico City,1,36,19.3215970,-99.1849259
37,Actuarial Mathematics,National Taiwan University,Asia,China (Taiwan),Taipei City,1,37,,
38,Actuarial Mathematics,National University of Colombia,South America,Colombia,Bogota,1,38,4.6387426,-74.0852375
39,Actuarial Mathematics,National University of Singapore,Asia,Singapore,Singapore,1,39,1.2962018,103.7768977
40,Actuarial Mathematics,New York University,North America,USA,New York City,1,40,40.7292053,-73.9950148
41,Actuarial Mathematics,North Carolina State University,North America,USA,Raleigh,1,41,35.7718497,-78.6740870
42,Actuarial Mathematics,Norwegian University of Science and Technology (NTNU),Europe,Norway,Trondheim,1,42,,
43,Actuarial Mathematics,Osaka University,Asia,Japan,Suita,1,43,34.8229392,135.5257577
44,Actuarial Mathematics,Pontifical Catholic University of Rio de Janeiro,South America,Brazil,Rio de Janeiro,1,44,,
45,Actuarial Mathematics,Queensland University of Technology,Australia/Oceania,Australia,Brisbane,1,45,,
46,Actuarial Mathematics,Ritsumeikan University,Asia,Japan,"Kita Ward, Kyoto",1,46,35.0344040,135.7266470
47,Actuarial Mathematics,Seoul National University,Asia,South Korea,Seoul,1,47,37.4669776,126.9491379
48,Actuarial Mathematics,Simon Fraser University,North America,Canada,Burnaby,1,48,49.2767096,-122.9178030
49,Actuarial Mathematics,Singapore Management University,Asia,Singapore,Singapore,1,49,1.2961680,103.8500437
50,Actuarial Mathematics,Sorbonne University,Europe,France,Paris,1,50,48.8468997,2.3574487
51,Actuarial Mathematics,Stellenbosch University,Africa,South Africa,Stellenbosch,1,51,-33.9326212,18.8650551
52,Actuarial Mathematics,Stockholm University,Europe,Sweden,Stockholm,1,52,59.3661410,18.0595930
53,Actuarial Mathematics,Sungkyunkwan University,Asia,South Korea,Soul,1,53,37.5870459,126.9906264
54,Actuarial Mathematics,Tampere University,Europe,Finland,Tampere,1,54,61.4934627,23.7789500
55,Actuarial Mathematics,Technical University of Munich,Europe,Germany,Muenchen,1,55,48.2654976,11.6692249
56,Actuarial Mathematics,Tsinghua University,Asia,China (Mainland),Beijing,1,56,,
57,Actuarial Mathematics,UiT The Arctic University of Norway,Europe,Norway,Tromsø,1,57,,
58,Actuarial Mathematics,Umeå University,Europe,Sweden,Umea,1,58,63.8217763,20.3043163
59,Actuarial Mathematics,Universidad de las Américas Puebla,South America,Mexico,Puebla,1,59,19.0544632,-98.2849680
60,Actuarial Mathematics,Universidade Federal do Rio de Janeiro,South America,Brazil,Rio de Janeiro,1,60,-22.8533498,-43.2331703
61,Actuarial Mathematics,University College Cork,Europe,Ireland,Cork,1,61,51.8947012,-8.4903105
62,Actuarial Mathematics,University of Adelaide,Australia/Oceania,Australia,Adelaide,1,62,-34.9189226,138.6042367
63,Actuarial Mathematics,University of Agder,Europe,Norway,Kristiansand,1,63,58.1630985,8.0014426
64,Actuarial Mathematics,University of Akureyri,Europe,Iceland,Akureyri,1,64,,
65,Actuarial Mathematics,University of Amsterdam,Europe,Netherlands,Amsterdam,1,65,52.3681334,4.8898042
66,Actuarial Mathematics,University of Auckland,Australia/Oceania,New Zealand,Auckland,1,66,-36.8660955,174.7737331
67,Actuarial Mathematics,University of Barcelona,Europe,Spain,Barcelona,1,67,41.3868595,2.1634784
68,Actuarial Mathematics,University of Bergen,Europe,Norway,Bergen,1,68,60.3809342,5.3313021
69,Actuarial Mathematics,UNIVERSITY OF BIRMINGHAM,Europe,United Kingdom,Birmingham,1,69,52.4522956,-1.9312857
70,Actuarial Mathematics,UNIVERSITY OF BRISTOL,Europe,United Kingdom,Bristol,1,70,51.5007679,-2.5503106
71,Actuarial Mathematics,University of British Columbia,North America,Canada,Vancouver,1,71,49.2578915,-123.2429755
72,Actuarial Mathematics,University of Buenos Aires,South America,Argentina,Buenos Aires,1,72,-37.3285798,-59.1385728
73,Actuarial Mathematics,University of Calgary,North America,Canada,Calgary,1,73,51.0750540,-114.1388050
74,Actuarial Mathematics,University of California,North America,USA,Santa Barbara,1,74,34.4146025,-119.8458100
75,Actuarial Mathematics,University of Canterbury Christchurch,Australia/Oceania,New Zealand,Christchurch,1,75,-43.5232778,172.5823435
76,Actuarial Mathematics,University of Chile,South America,Chile,Santiago,1,76,-33.4580688,-70.6634338
77,Actuarial Mathematics,University of Colorado Boulder,North America,USA,Boulder,1,77,40.0070061,-105.2664423
78,Actuarial Mathematics,University of Eastern Finland,Europe,Finland,Kuopio,1,78,62.8937283,27.6394748
79,Actuarial Mathematics,University of Edinburgh,Europe,United Kingdom,Edinburgh,1,79,55.9440765,-3.1883736
80,Actuarial Mathematics,UNIVERSITY OF EXETER,Europe,United Kingdom,Exeter,1,80,50.7387148,-3.5384011
81,Actuarial Mathematics,University of Geneva,Europe,Switzerland,Geneva,1,81,,
82,Actuarial Mathematics,University of Gothenburg,Europe,Sweden,Goeteborg,1,82,57.6864579,11.9589874
83,Actuarial Mathematics,University of Guelph,North America,Canada,Guelph,1,83,43.5327864,-80.2249974
84,Actuarial Mathematics,University of Helsinki,Europe,Finland,Helsinki,1,84,60.2267221,25.0176700
85,Actuarial Mathematics,University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,85,23.1734680,113.4665224
86,Actuarial Mathematics,University of Iceland,Europe,Iceland,Reykjavik,1,86,64.1401832,-21.9539633
87,Actuarial Mathematics,University of Illinois at Urbana-Champaign,North America,USA,Champaign,1,87,,
88,Actuarial Mathematics,University of Jyväskylä,Europe,Finland,Jyvaskyla,1,88,62.2317777,25.7357870
89,Actuarial Mathematics,UNIVERSITY OF KENT,Europe,United Kingdom,Canterbury,1,89,51.2950874,1.0673313
90,Actuarial Mathematics,University of Lapland,Europe,Finland,Rovaniemi,1,90,66.4857192,25.7181340
91,Actuarial Mathematics,THE UNIVERSITY OF LEEDS,Europe,United Kingdom,LEEDS,1,91,,
92,Actuarial Mathematics,University of Liverpool,Europe,United Kingdom,Liverpool,1,92,53.4072429,-2.9658337
93,Actuarial Mathematics,University of Manchester,Europe,United Kingdom,MANCHESTER,1,93,53.4660226,-2.2330858
94,Actuarial Mathematics,University of Melbourne,Australia/Oceania,Australia,Parkville,1,94,-37.7960451,144.9610195
95,Actuarial Mathematics,University of Milan,Europe,Italy,Milano,1,95,45.4757322,9.2282917
96,Actuarial Mathematics,University of New South Wales,Australia/Oceania,Australia,Sydney,1,96,-33.9175994,151.2312369
97,Actuarial Mathematics,University of North Carolina at Chapel Hill,North America,USA,Chapel Hill,1,97,35.9046729,-79.0533595
98,Actuarial Mathematics,University of Nottingham Ningbo China,Asia,China (Mainland),Ningbo,1,98,,
99,Actuarial Mathematics,University of Oslo,Europe,Norway,Oslo,2,99,59.9414173,10.7227683
100,Actuarial Mathematics,University of Oslo,Europe,Norway,Oslo,2,100,59.9414173,10.7227683
101,Actuarial Mathematics,University of Otago,Australia/Oceania,New Zealand,Dunedin,1,101,-45.8649793,170.5146149
102,Actuarial Mathematics,University of Oulu,Europe,Finland,Oulu,1,102,65.0593277,25.4673577
103,Actuarial Mathematics,University of Queensland,Australia/Oceania,Australia,Brisbane,1,103,-27.4981423,153.0111536
104,Actuarial Mathematics,University of São Paulo,South America,Brazil,Butantã,1,104,-23.5610480,-46.7252264
105,Actuarial Mathematics,UNIVERSITY OF SHEFFIELD,Europe,United Kingdom,Sheffield,1,105,53.3729622,-1.5059315
106,Actuarial Mathematics,University of South Florida,North America,USA,Tampa,1,106,28.0599999,-82.4138362
107,Actuarial Mathematics,UNIVERSITY OF SOUTHAMPTON,Europe,United Kingdom,Southampton,1,107,50.9337516,-1.3806486
108,Actuarial Mathematics,University of South-Eastern Norway (USN),Europe,Norway,Drammen,1,108,,
109,Actuarial Mathematics,UNIVERSITY OF ST ANDREWS,Europe,United Kingdom,St Andrews,1,109,56.3398554,-2.8117775
110,Actuarial Mathematics,University of Stavanger,Europe,Norway,Stavanger,1,110,58.9377085,5.6937667
111,Actuarial Mathematics,University of Sydney,Australia/Oceania,Australia,Sydney,1,111,-33.8889072,151.1894111
112,Actuarial Mathematics,University of Tasmania,Australia/Oceania,Australia,Hobart,1,112,-42.9068220,147.3218083
113,Actuarial Mathematics,University of Technology Sydney,Australia/Oceania,Australia,Ultimo,1,113,-33.8832536,151.2003294
114,Actuarial Mathematics,University of Texas at Austin,North America,USA,Austin,1,114,30.2851494,-97.7339352
115,Actuarial Mathematics,University of the Andes,South America,Colombia,Bogotá,1,115,,
116,Actuarial Mathematics,University of the Faroe Islands,Europe,Faroe Islands,Tórshavn,2,116,,
117,Actuarial Mathematics,University of the Faroe Islands,Europe,Faroe Islands,Tórshavn,2,117,,
118,Actuarial Mathematics,University of Tokyo,Asia,Japan,"Bunkyo City, Tokyo",1,118,,
119,Actuarial Mathematics,University of Toronto - Mississauga,North America,Canada,Mississauga,1,119,43.5502208,-79.6626584
120,Actuarial Mathematics,University of Toronto - Scarborough,North America,Canada,Scarborough,1,120,43.7851882,-79.1893305
121,Actuarial Mathematics,University of Toronto - St. George,North America,Canada,Toronto,1,121,43.6634681,-79.3968165
122,Actuarial Mathematics,University of Turku,Europe,Finland,Turku,1,122,60.4560732,22.2864097
123,Actuarial Mathematics,University of Vaasa,Europe,Finland,Vaasa,1,123,63.1043242,21.5935646
124,Actuarial Mathematics,University of Victoria,North America,Canada,Victoria,1,124,,
125,Actuarial Mathematics,University of Warsaw,Europe,Poland,Warszawa,1,125,52.2216394,21.0073770
126,Actuarial Mathematics,University of Washington,North America,USA,Seattle,1,126,47.6554303,-122.3001692
127,Actuarial Mathematics,University of Western Australia,Australia/Oceania,Australia,Perth,1,127,-31.9506520,115.7978755
128,Actuarial Mathematics,University of Wisconsin-Madison,North America,USA,Madison,1,128,43.0802745,-89.4309587
129,Actuarial Mathematics,University of Wollongong,Australia/Oceania,Australia,Wollongong,1,129,-34.4050554,150.8783465
130,Actuarial Mathematics,Utrecht University,Europe,Netherlands,Utrecht,1,130,52.0942343,5.1211881
131,Actuarial Mathematics,Victoria University of Wellington,Australia/Oceania,New Zealand,Wellington,1,131,-41.2051787,174.7985379
132,Actuarial Mathematics,Waseda University,Asia,Japan,"Shinjuku City, Tokyo",1,132,,
133,Actuarial Mathematics,Western Sydney University,Australia/Oceania,Australia,Penrith,1,133,-33.7683269,150.7301189
134,Actuarial Mathematics,Western University,North America,Canada,London,1,134,43.0054234,-81.2748010
135,Actuarial Mathematics,Yonsei University,Asia,South Korea,Seoul,1,135,37.5603559,126.9351585
136,Actuarial Mathematics,York University,North America,Canada,Toronto,1,136,43.7739325,-79.4988225
137,Advanced Migration Studies,Åbo Akademi University,Europe,Finland,Abo,1,0,60.4534537,22.2792379
138,Advanced Migration Studies,Al Akhawayn University,Africa,Morocco,Ifrane,1,137,33.5391007,-5.1067850
139,Advanced Migration Studies,Arizona State University,North America,USA,Tempe,1,1,33.4213174,-111.9331631
140,Advanced Migration Studies,Ashoka University,Asia,India,Sonipat,1,138,28.9469006,77.1014386
141,Advanced Migration Studies,Australian National University,Australia/Oceania,Australia,Canbarra,1,2,,
142,Advanced Migration Studies,Barnard College,North America,USA,New York City,1,3,40.8094864,-73.9635510
143,Advanced Migration Studies,Boston College,North America,USA,Chestnut Hill,1,4,42.3354481,-71.1682665
144,Advanced Migration Studies,Boston University,North America,USA,Boston,1,5,42.3504215,-71.1032247
145,Advanced Migration Studies,Ca' Foscari University of Venice,Europe,Italy,Venice,1,139,,
146,Advanced Migration Studies,Charles University (Prague),Europe,Czech Republic,Praha 1,1,7,50.0888947,14.4162757
147,Advanced Migration Studies,Chinese University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,8,,
148,Advanced Migration Studies,Chuo University,Asia,Japan,"Hachioji-shi, Tokyo",1,9,35.6403751,139.4045306
149,Advanced Migration Studies,City University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,10,,
150,Advanced Migration Studies,Concordia University,North America,Canada,Montréal,1,11,45.4952440,-73.5785815
151,Advanced Migration Studies,Cornell University,North America,USA,Ithaca,1,12,42.4529076,-76.4800842
152,Advanced Migration Studies,Deakin University,Australia/Oceania,Australia,Melbourne,1,13,-37.8475136,145.1149474
153,Advanced Migration Studies,École des Hautes Études en Sciences Sociales,Europe,France,Paris,1,140,48.8501342,2.3265803
154,Advanced Migration Studies,École Normale Supérieure de Lyon,Europe,France,Lyon Cedex 07,1,141,,
155,Advanced Migration Studies,Erasmus University Rotterdam,Europe,Netherlands,Rotterdam,2,142,51.9176312,4.5259623
156,Advanced Migration Studies,Erasmus University Rotterdam,Europe,Netherlands,Rotterdam,2,143,51.9176312,4.5259623
157,Advanced Migration Studies,Ewha Womans University,Asia,South Korea,Seoul,1,15,37.5643371,126.9468925
158,Advanced Migration Studies,Fudan University,Asia,China (Mainland),Shanghai,1,16,,
159,Advanced Migration Studies,Georgian American University,Europe,Georgia,Tbilisi,1,144,41.7177273,44.7848587
160,Advanced Migration Studies,Griffith University,Australia/Oceania,Australia,Mount Gravatt,1,18,-27.5421950,153.0649526
161,Advanced Migration Studies,Hankuk University of Foreign Studies,Asia,South Korea,Seoul,1,145,37.5956329,127.0633740
162,Advanced Migration Studies,Heidelberg University,Europe,Germany,HEIDELBERG,1,19,49.4186003,8.6692402
163,Advanced Migration Studies,Hong Kong University of Science and Technology,Asia,China (Hong Kong),Hong Kong,1,146,,
164,Advanced Migration Studies,Humboldt-Universität zu Berlin,Europe,Germany,Berlin,1,147,52.5183402,13.3929202
165,Advanced Migration Studies,Ilisimatusarfik - University of Greenland,Europe,Greenland,Nuuk,1,22,,
166,Advanced Migration Studies,International University of Sarajevo,Europe,Bosnia and Herzegovina,Ilidža/Sarajevo,1,148,43.8215450,18.3090990
167,Advanced Migration Studies,Iscte - University Institute of Lisbon,Europe,Portugal,Lisboa,1,149,,
168,Advanced Migration Studies,Jeju National University,Asia,South Korea,"Jeju-si, Jeju Special Self-Governing Province",1,150,33.5134310,126.5534683
169,Advanced Migration Studies,Kangwon National University,Asia,South Korea,Gangwon-do,1,151,37.8672582,127.7447487
170,Advanced Migration Studies,Karlstad University,Europe,Sweden,Karlstad,1,23,,
171,Advanced Migration Studies,Keimyung University,Asia,South Korea,Daegu,1,152,35.8567134,128.4849417
172,Advanced Migration Studies,KIMEP University,Asia,Kazakhstan,Almaty,2,153,43.2416004,76.9552551
173,Advanced Migration Studies,KIMEP University,Asia,Kazakhstan,Almaty,2,154,43.2416004,76.9552551
174,Advanced Migration Studies,Korea University,Asia,South Korea,Soul,1,24,37.5880378,127.0323927
175,Advanced Migration Studies,Kyungpook National University,Asia,South Korea,"Sangyeok-dong, Daegu",1,155,35.8905697,128.6108553
176,Advanced Migration Studies,Leiden University,Europe,Netherlands,Leiden,1,156,52.1686355,4.4597028
177,Advanced Migration Studies,Linköping University,Europe,Sweden,Linköping,2,25,58.3977911,15.5754544
178,Advanced Migration Studies,Linköping University,Europe,Sweden,Linköping,2,157,58.3977911,15.5754544
179,Advanced Migration Studies,Linnæus University,Europe,Sweden,Väjxö,1,26,,
180,Advanced Migration Studies,Ludwig-Maximilians-Universität München (LMU),Europe,Germany,Muenchen,1,158,,
181,Advanced Migration Studies,Luleå University of Technology,Europe,Sweden,Luleå,1,28,65.6182538,22.1383085
182,Advanced Migration Studies,Lund University,Europe,Sweden,Lund,2,29,55.7126504,13.2107587
183,Advanced Migration Studies,Lund University,Europe,Sweden,Lund,2,159,55.7126504,13.2107587
184,Advanced Migration Studies,Macquarie University,Australia/Oceania,Australia,North Ryde,1,30,,
185,Advanced Migration Studies,Malmö University,Europe,Sweden,Malmö,1,160,55.6088853,12.9932225
186,Advanced Migration Studies,Maqsut Narikbayev University,Asia,Kazakhstan,Astana,2,161,,
187,Advanced Migration Studies,Maqsut Narikbayev University,Asia,Kazakhstan,Astana,2,162,,
188,Advanced Migration Studies,McGill University,North America,Canada,Montreal,1,31,45.5068861,-73.5787118
189,Advanced Migration Studies,McMaster University,North America,Canada,Hamilton,1,32,43.2639397,-79.9178252
190,Advanced Migration Studies,Mid Sweden University,Europe,Sweden,Sundsvall,1,33,62.3930729,17.2834483
191,Advanced Migration Studies,Monash University,Australia/Oceania,Australia,Clayton,1,34,-37.9143766,145.1316672
192,Advanced Migration Studies,Nagoya University,Asia,Japan,"Chikusa Ward, Nagoya",1,35,35.1533087,136.9677806
193,Advanced Migration Studies,National Autonomous University of Mexico,South America,Mexico,Mexico City,1,36,19.3215970,-99.1849259
194,Advanced Migration Studies,National Chengchi University,Asia,China (Taiwan),Taipei,1,163,,
195,Advanced Migration Studies,National Taiwan University,Asia,China (Taiwan),Taipei City,1,37,,
196,Advanced Migration Studies,National University of Colombia,South America,Colombia,Bogota,1,38,4.6387426,-74.0852375
197,Advanced Migration Studies,National University of Singapore,Asia,Singapore,Singapore,1,39,1.2962018,103.7768977
198,Advanced Migration Studies,New York University,North America,USA,New York City,1,40,40.7292053,-73.9950148
199,Advanced Migration Studies,North Carolina State University,North America,USA,Raleigh,1,41,35.7718497,-78.6740870
200,Advanced Migration Studies,Norwegian University of Science and Technology (NTNU),Europe,Norway,Trondheim,1,42,,
201,Advanced Migration Studies,Osaka University,Asia,Japan,Suita,1,43,34.8229392,135.5257577
202,Advanced Migration Studies,Osnabrück University,Europe,Germany,Osnabrueck,1,164,52.2724039,8.0394187
203,Advanced Migration Studies,Pompeu Fabra University,Europe,Spain,Barcelona,2,165,41.4043275,2.1937054
204,Advanced Migration Studies,Pompeu Fabra University,Europe,Spain,Barcelona,2,166,41.4043275,2.1937054
205,Advanced Migration Studies,Pontifical Catholic University of Rio de Janeiro,South America,Brazil,Rio de Janeiro,1,44,,
206,Advanced Migration Studies,Queensland University of Technology,Australia/Oceania,Australia,Brisbane,1,45,,
207,Advanced Migration Studies,Ritsumeikan University,Asia,Japan,"Kita Ward, Kyoto",1,46,35.0344040,135.7266470
208,Advanced Migration Studies,Seoul National University,Asia,South Korea,Seoul,1,47,37.4669776,126.9491379
209,Advanced Migration Studies,Simon Fraser University,North America,Canada,Burnaby,1,48,49.2767096,-122.9178030
210,Advanced Migration Studies,Singapore Management University,Asia,Singapore,Singapore,1,49,1.2961680,103.8500437
211,Advanced Migration Studies,Sogang University,Asia,South Korea,Soul,1,167,37.5520909,126.9409875
212,Advanced Migration Studies,Sorbonne University,Europe,France,Paris,1,50,48.8468997,2.3574487
213,Advanced Migration Studies,Stellenbosch University,Africa,South Africa,Stellenbosch,1,51,-33.9326212,18.8650551
214,Advanced Migration Studies,Stockholm University,Europe,Sweden,Stockholm,1,52,59.3661410,18.0595930
215,Advanced Migration Studies,Sungkyunkwan University,Asia,South Korea,Soul,2,53,37.5870459,126.9906264
216,Advanced Migration Studies,Sungkyunkwan University,Asia,South Korea,Soul,2,168,37.5870459,126.9906264
217,Advanced Migration Studies,Tampere University,Europe,Finland,Tampere,1,54,61.4934627,23.7789500
218,Advanced Migration Studies,Tsinghua University,Asia,China (Mainland),Beijing,1,56,,
219,Advanced Migration Studies,Tunghai University,Asia,China (Taiwan),Taichung City,1,169,,
220,Advanced Migration Studies,UiT The Arctic University of Norway,Europe,Norway,Tromsø,1,57,,
221,Advanced Migration Studies,Umeå University,Europe,Sweden,Umea,1,58,63.8217763,20.3043163
222,Advanced Migration Studies,Universidad de las Américas Puebla,South America,Mexico,Puebla,1,59,19.0544632,-98.2849680
223,Advanced Migration Studies,UNIVERSITY OF LISBOA,Europe,Portugal,Lisboa,1,170,38.7527961,-9.1570276
224,Advanced Migration Studies,Universidade Federal do Rio de Janeiro,South America,Brazil,Rio de Janeiro,1,60,-22.8533498,-43.2331703
225,Advanced Migration Studies,Universität Hamburg,Europe,Germany,Hamburg,1,171,53.5909051,9.9753758
226,Advanced Migration Studies,Université Côte d'Azur,Europe,France,Nice Cedex 4,1,172,,
227,Advanced Migration Studies,UNIVERSITY OF NEUCHATEL,Europe,Switzerland,Neuchâtel,1,173,,
228,Advanced Migration Studies,University College Cork,Europe,Ireland,Cork,1,174,51.8947012,-8.4903105
229,Advanced Migration Studies,University of A Coruña,Europe,Spain,A Coruña,1,175,,
230,Advanced Migration Studies,University of Adelaide,Australia/Oceania,Australia,Adelaide,1,62,-34.9189226,138.6042367
231,Advanced Migration Studies,University of Agder,Europe,Norway,Kristiansand,1,63,58.1630985,8.0014426
232,Advanced Migration Studies,University of Akureyri,Europe,Iceland,Akureyri,1,64,,
233,Advanced Migration Studies,University of Amsterdam,Europe,Netherlands,Amsterdam,1,176,52.3681334,4.8898042
234,Advanced Migration Studies,University of Auckland,Australia/Oceania,New Zealand,Auckland,1,66,-36.8660955,174.7737331
235,Advanced Migration Studies,University of Belgrade,Europe,Serbia,Beograd,1,177,44.8179654,20.4507765
236,Advanced Migration Studies,University of Bergen,Europe,Norway,Bergen,2,68,60.3809342,5.3313021
237,Advanced Migration Studies,University of Bergen,Europe,Norway,Bergen,2,178,60.3809342,5.3313021
238,Advanced Migration Studies,UNIVERSITY OF BIRMINGHAM,Europe,United Kingdom,Birmingham,1,69,52.4522956,-1.9312857
239,Advanced Migration Studies,University of Bologna,Europe,Italy,Bologna,1,179,44.4982886,11.3544570
240,Advanced Migration Studies,UNIVERSITY OF BRISTOL,Europe,United Kingdom,Bristol,1,70,51.5007679,-2.5503106
241,Advanced Migration Studies,University of British Columbia,North America,Canada,Vancouver,1,71,49.2578915,-123.2429755
242,Advanced Migration Studies,University of Buenos Aires,South America,Argentina,Buenos Aires,1,72,-37.3285798,-59.1385728
243,Advanced Migration Studies,University of Calgary,North America,Canada,Calgary,1,73,51.0750540,-114.1388050
244,Advanced Migration Studies,University of California,North America,USA,Santa Barbara,1,74,34.4146025,-119.8458100
245,Advanced Migration Studies,University of Canterbury Christchurch,Australia/Oceania,New Zealand,Christchurch,1,75,-43.5232778,172.5823435
246,Advanced Migration Studies,University of Chile,South America,Chile,Santiago,1,76,-33.4580688,-70.6634338
247,Advanced Migration Studies,University of Colorado Boulder,North America,USA,Boulder,1,77,40.0070061,-105.2664423
248,Advanced Migration Studies,University of Eastern Finland,Europe,Finland,Kuopio,1,78,62.8937283,27.6394748
249,Advanced Migration Studies,University of Edinburgh,Europe,United Kingdom,Edinburgh,1,79,55.9440765,-3.1883736
250,Advanced Migration Studies,UNIVERSITY OF EXETER,Europe,United Kingdom,Exeter,1,80,50.7387148,-3.5384011
251,Advanced Migration Studies,University of Geneva,Europe,Switzerland,Geneva,1,81,,
252,Advanced Migration Studies,University of Gothenburg,Europe,Sweden,Goeteborg,1,82,57.6864579,11.9589874
253,Advanced Migration Studies,University of Guelph,North America,Canada,Guelph,1,83,43.5327864,-80.2249974
254,Advanced Migration Studies,University of Helsinki,Europe,Finland,Helsinki,1,84,60.2267221,25.0176700
255,Advanced Migration Studies,University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,85,23.1734680,113.4665224
256,Advanced Migration Studies,University of Iceland,Europe,Iceland,Reykjavik,2,86,64.1401832,-21.9539633
257,Advanced Migration Studies,University of Iceland,Europe,Iceland,Reykjavik,2,180,64.1401832,-21.9539633
258,Advanced Migration Studies,University of Jyväskylä,Europe,Finland,Jyvaskyla,1,88,62.2317777,25.7357870
259,Advanced Migration Studies,UNIVERSITY OF KENT,Europe,United Kingdom,Canterbury,1,89,51.2950874,1.0673313
260,Advanced Migration Studies,University of Klagenfurt,Europe,Austria,Klagenfurt,1,181,46.6164026,14.2646809
261,Advanced Migration Studies,University of Lapland,Europe,Finland,Rovaniemi,1,90,66.4857192,25.7181340
262,Advanced Migration Studies,THE UNIVERSITY OF LEEDS,Europe,United Kingdom,LEEDS,1,91,,
263,Advanced Migration Studies,University of Leuven,Europe,Belgium,Leuven,1,182,,
264,Advanced Migration Studies,University of Liège,Europe,Belgium,Liège,1,183,50.6368602,5.5624252
265,Advanced Migration Studies,University of Liverpool,Europe,United Kingdom,Liverpool,1,92,53.4072429,-2.9658337
266,Advanced Migration Studies,University of Manchester,Europe,United Kingdom,MANCHESTER,1,93,53.4660226,-2.2330858
