Index,Study field,Institution,Continent,Country,City,N agreements,Agreement_ID
46,Actuarial Mathematics,Ritsumeikan University,Asia,Japan,"Kita Ward, Kyoto",1,46
47,Actuarial Mathematics,Seoul National University,Asia,South Korea,Seoul,1,47
48,Actuarial Mathematics,Simon Fraser University,North America,Canada,Burnaby,1,48
49,Actuarial Mathematics,Singapore Management University,Asia,Singapore,Singapore,1,49
50,Actuarial Mathematics,Sorbonne University,Europe,France,Paris,1,50
51,Actuarial Mathematics,Stellenbosch University,Africa,South Africa,Stellenbosch,1,51
52,Actuarial Mathematics,Stockholm University,Europe,Sweden,Stockholm,1,52
53,Actuarial Mathematics,Sungkyunkwan University,Asia,South Korea,Soul,1,53
54,Actuarial Mathematics,Tampere University,Europe,Finland,Tampere,1,54
55,Actuarial Mathematics,Technical University of Munich,Europe,Germany,Muenchen,1,55
56,Actuarial Mathematics,Tsinghua University,Asia,China (Mainland),Beijing,1,56
57,Actuarial Mathematics,UiT The Arctic University of Norway,Europe,Norway,Tromsø,1,57
58,Actuarial Mathematics,Umeå University,Europe,Sweden,Umea,1,58
59,Actuarial Mathematics,Universidad de las Américas Puebla,South America,Mexico,Puebla,1,59
60,Actuarial Mathematics,Universidade Federal do Rio de Janeiro,South America,Brazil,Rio de Janeiro,1,60
61,Actuarial Mathematics,University College Cork,Europe,Ireland,Cork,1,61
62,Actuarial Mathematics,University of Adelaide,Australia/Oceania,Australia,Adelaide,1,62
63,Actuarial Mathematics,University of Agder,Europe,Norway,Kristiansand,1,63
64,Actuarial Mathematics,University of Akureyri,Europe,Iceland,Akureyri,1,64
65,Actuarial Mathematics,University of Amsterdam,Europe,Netherlands,Amsterdam,1,65
66,Actuarial Mathematics,University of Auckland,Australia/Oceania,New Zealand,Auckland,1,66
67,Actuarial Mathematics,University of Barcelona,Europe,Spain,Barcelona,1,67
68,Actuarial Mathematics,University of Bergen,Europe,Norway,Bergen,1,68
69,Actuarial Mathematics,UNIVERSITY OF BIRMINGHAM,Europe,United Kingdom,Birmingham,1,69
70,Actuarial Mathematics,UNIVERSITY OF BRISTOL,Europe,United Kingdom,Bristol,1,70
71,Actuarial Mathematics,University of British Columbia,North America,Canada,Vancouver,1,71
72,Actuarial Mathematics,University of Buenos Aires,South America,Argentina,Buenos Aires,1,72
73,Actuarial Mathematics,University of Calgary,North America,Canada,Calgary,1,73
74,Actuarial Mathematics,University of California,North America,USA,Santa Barbara,1,74
75,Actuarial Mathematics,University of Canterbury Christchurch,Australia/Oceania,New Zealand,Christchurch,1,75
76,Actuarial Mathematics,University of Chile,South America,Chile,Santiago,1,76
77,Actuarial Mathematics,University of Colorado Boulder,North America,USA,Boulder,1,77
78,Actuarial Mathematics,University of Eastern Finland,Europe,Finland,Kuopio,1,78
79,Actuarial Mathematics,University of Edinburgh,Europe,United Kingdom,Edinburgh,1,79
80,Actuarial Mathematics,UNIVERSITY OF EXETER,Europe,United Kingdom,Exeter,1,80
81,Actuarial Mathematics,University of Geneva,Europe,Switzerland,Geneva,1,81
82,Actuarial Mathematics,University of Gothenburg,Europe,Sweden,Goeteborg,1,82
83,Actuarial Mathematics,University of Guelph,North America,Canada,Guelph,1,83
84,Actuarial Mathematics,University of Helsinki,Europe,Finland,Helsinki,1,84
85,Actuarial Mathematics,University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,85
86,Actuarial Mathematics,University of Iceland,Europe,Iceland,Reykjavik,1,86
87,Actuarial Mathematics,University of Illinois at Urbana-Champaign,North America,USA,Champaign,1,87
88,Actuarial Mathematics,University of Jyväskylä,Europe,Finland,Jyvaskyla,1,88
89,Actuarial Mathematics,UNIVERSITY OF KENT,Europe,United Kingdom,Canterbury,1,89
90,Actuarial Mathematics,University of Lapland,Europe,Finland,Rovaniemi,1,90
91,Actuarial Mathematics,THE UNIVERSITY OF LEEDS,Europe,United Kingdom,LEEDS,1,91
92,Actuarial Mathematics,University of Liverpool,Europe,United Kingdom,Liverpool,1,92
93,Actuarial Mathematics,University of Manchester,Europe,United Kingdom,MANCHESTER,1,93
94,Actuarial Mathematics,University of Melbourne,Australia/Oceania,Australia,Parkville,1,94
95,Actuarial Mathematics,University of Milan,Europe,Italy,Milano,1,95
96,Actuarial Mathematics,University of New South Wales,Australia/Oceania,Australia,Sydney,1,96
97,Actuarial Mathematics,University of North Carolina at Chapel Hill,North America,USA,Chapel Hill,1,97
98,Actuarial Mathematics,University of Nottingham Ningbo China,Asia,China (Mainland),Ningbo,1,98
99,Actuarial Mathematics,University of Oslo,Europe,Norway,Oslo,2,99
100,Actuarial Mathematics,University of Oslo,Europe,Norway,Oslo,2,100
101,Actuarial Mathematics,University of Otago,Australia/Oceania,New Zealand,Dunedin,1,101
102,Actuarial Mathematics,University of Oulu,Europe,Finland,Oulu,1,102
103,Actuarial Mathematics,University of Queensland,Australia/Oceania,Australia,Brisbane,1,103
104,Actuarial Mathematics,University of São Paulo,South America,Brazil,Butantã,1,104
105,Actuarial Mathematics,UNIVERSITY OF SHEFFIELD,Europe,United Kingdom,Sheffield,1,105
106,Actuarial Mathematics,University of South Florida,North America,USA,Tampa,1,106
107,Actuarial Mathematics,UNIVERSITY OF SOUTHAMPTON,Europe,United Kingdom,Southampton,1,107
108,Actuarial Mathematics,University of South-Eastern Norway (USN),Europe,Norway,Drammen,1,108
109,Actuarial Mathematics,UNIVERSITY OF ST ANDREWS,Europe,United Kingdom,St Andrews,1,109
110,Actuarial Mathematics,University of Stavanger,Europe,Norway,Stavanger,1,110
111,Actuarial Mathematics,University of Sydney,Australia/Oceania,Australia,Sydney,1,111
112,Actuarial Mathematics,University of Tasmania,Australia/Oceania,Australia,Hobart,1,112
113,Actuarial Mathematics,University of Technology Sydney,Australia/Oceania,Australia,Ultimo,1,113
114,Actuarial Mathematics,University of Texas at Austin,North America,USA,Austin,1,114
115,Actuarial Mathematics,University of the Andes,South America,Colombia,Bogotá,1,115
116,Actuarial Mathematics,University of the Faroe Islands,Europe,Faroe Islands,Tórshavn,2,116
117,Actuarial Mathematics,University of the Faroe Islands,Europe,Faroe Islands,Tórshavn,2,117
118,Actuarial Mathematics,University of Tokyo,Asia,Japan,"Bunkyo City, Tokyo",1,118
119,Actuarial Mathematics,University of Toronto - Mississauga,North America,Canada,Mississauga,1,119
120,Actuarial Mathematics,University of Toronto - Scarborough,North America,Canada,Scarborough,1,120
121,Actuarial Mathematics,University of Toronto - St. George,North America,Canada,Toronto,1,121
122,Actuarial Mathematics,University of Turku,Europe,Finland,Turku,1,122
123,Actuarial Mathematics,University of Vaasa,Europe,Finland,Vaasa,1,123
124,Actuarial Mathematics,University of Victoria,North America,Canada,Victoria,1,124
125,Actuarial Mathematics,University of Warsaw,Europe,Poland,Warszawa,1,125
126,Actuarial Mathematics,University of Washington,North America,USA,Seattle,1,126
127,Actuarial Mathematics,University of Western Australia,Australia/Oceania,Australia,Perth,1,127
128,Actuarial Mathematics,University of Wisconsin-Madison,North America,USA,Madison,1,128
129,Actuarial Mathematics,University of Wollongong,Australia/Oceania,Australia,Wollongong,1,129
130,Actuarial Mathematics,Utrecht University,Europe,Netherlands,Utrecht,1,130
131,Actuarial Mathematics,Victoria University of Wellington,Australia/Oceania,New Zealand,Wellington,1,131
132,Actuarial Mathematics,Waseda University,Asia,Japan,"Shinjuku City, Tokyo",1,132
133,Actuarial Mathematics,Western Sydney University,Australia/Oceania,Australia,Penrith,1,133
134,Actuarial Mathematics,Western University,North America,Canada,London,1,134
135,Actuarial Mathematics,Yonsei University,Asia,South Korea,Seoul,1,135
136,Actuarial Mathematics,York University,North America,Canada,Toronto,1,136
137,Advanced Migration Studies,Åbo Akademi University,Europe,Finland,Abo,1,0
138,Advanced Migration Studies,Al Akhawayn University,Africa,Morocco,Ifrane,1,137
139,Advanced Migration Studies,Arizona State University,North America,USA,Tempe,1,1
140,Advanced Migration Studies,Ashoka University,Asia,India,Sonipat,1,138
141,Advanced Migration Studies,Australian National University,Australia/Oceania,Australia,Canbarra,1,2
142,Advanced Migration Studies,Barnard College,North America,USA,New York City,1,3
143,Advanced Migration Studies,Boston College,North America,USA,Chestnut Hill,1,4
144,Advanced Migration Studies,Boston University,North America,USA,Boston,1,5
145,Advanced Migration Studies,Ca' Foscari University of Venice,Europe,Italy,Venice,1,139
146,Advanced Migration Studies,Charles University (Prague),Europe,Czech Republic,Praha 1,1,7
147,Advanced Migration Studies,Chinese University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,8
148,Advanced Migration Studies,Chuo University,Asia,Japan,"Hachioji-shi, Tokyo",1,9
149,Advanced Migration Studies,City University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,10
150,Advanced Migration Studies,Concordia University,North America,Canada,Montréal,1,11
151,Advanced Migration Studies,Cornell University,North America,USA,Ithaca,1,12
152,Advanced Migration Studies,Deakin University,Australia/Oceania,Australia,Melbourne,1,13
153,Advanced Migration Studies,École des Hautes Études en Sciences Sociales,Europe,France,Paris,1,140
154,Advanced Migration Studies,École Normale Supérieure de Lyon,Europe,France,Lyon Cedex 07,1,141
155,Advanced Migration Studies,Erasmus University Rotterdam,Europe,Netherlands,Rotterdam,2,142
156,Advanced Migration Studies,Erasmus University Rotterdam,Europe,Netherlands,Rotterdam,2,143
157,Advanced Migration Studies,Ewha Womans University,Asia,South Korea,Seoul,1,15
158,Advanced Migration Studies,Fudan University,Asia,China (Mainland),Shanghai,1,16
159,Advanced Migration Studies,Georgian American University,Europe,Georgia,Tbilisi,1,144
160,Advanced Migration Studies,Griffith University,Australia/Oceania,Australia,Mount Gravatt,1,18
161,Advanced Migration Studies,Hankuk University of Foreign Studies,Asia,South Korea,Seoul,1,145
162,Advanced Migration Studies,Heidelberg University,Europe,Germany,HEIDELBERG,1,19
163,Advanced Migration Studies,Hong Kong University of Science and Technology,Asia,China (Hong Kong),Hong Kong,1,146
164,Advanced Migration Studies,Humboldt-Universität zu Berlin,Europe,Germany,Berlin,1,147
165,Advanced Migration Studies,Ilisimatusarfik - University of Greenland,Europe,Greenland,Nuuk,1,22
166,Advanced Migration Studies,International University of Sarajevo,Europe,Bosnia and Herzegovina,Ilidža/Sarajevo,1,148
167,Advanced Migration Studies,Iscte - University Institute of Lisbon,Europe,Portugal,Lisboa,1,149
168,Advanced Migration Studies,Jeju National University,Asia,South Korea,"Jeju-si, Jeju Special Self-Governing Province",1,150
169,Advanced Migration Studies,Kangwon National University,Asia,South Korea,Gangwon-do,1,151
170,Advanced Migration Studies,Karlstad University,Europe,Sweden,Karlstad,1,23
171,Advanced Migration Studies,Keimyung University,Asia,South Korea,Daegu,1,152
172,Advanced Migration Studies,KIMEP University,Asia,Kazakhstan,Almaty,2,153
173,Advanced Migration Studies,KIMEP University,Asia,Kazakhstan,Almaty,2,154
174,Advanced Migration Studies,Korea University,Asia,South Korea,Soul,1,24
175,Advanced Migration Studies,Kyungpook National University,Asia,South Korea,"Sangyeok-dong, Daegu",1,155
176,Advanced Migration Studies,Leiden University,Europe,Netherlands,Leiden,1,156
177,Advanced Migration Studies,Linköping University,Europe,Sweden,Linköping,2,25
178,Advanced Migration Studies,Linköping University,Europe,Sweden,Linköping,2,157
179,Advanced Migration Studies,Linnæus University,Europe,Sweden,Väjxö,1,26
180,Advanced Migration Studies,Ludwig-Maximilians-Universität München (LMU),Europe,Germany,Muenchen,1,158
181,Advanced Migration Studies,Luleå University of Technology,Europe,Sweden,Luleå,1,28
182,Advanced Migration Studies,Lund University,Europe,Sweden,Lund,2,29
183,Advanced Migration Studies,Lund University,Europe,Sweden,Lund,2,159
184,Advanced Migration Studies,Macquarie University,Australia/Oceania,Australia,North Ryde,1,30
185,Advanced Migration Studies,Malmö University,Europe,Sweden,Malmö,1,160
186,Advanced Migration Studies,Maqsut Narikbayev University,Asia,Kazakhstan,Astana,2,161
187,Advanced Migration Studies,Maqsut Narikbayev University,Asia,Kazakhstan,Astana,2,162
188,Advanced Migration Studies,McGill University,North America,Canada,Montreal,1,31
189,Advanced Migration Studies,McMaster University,North America,Canada,Hamilton,1,32
190,Advanced Migration Studies,Mid Sweden University,Europe,Sweden,Sundsvall,1,33
191,Advanced Migration Studies,Monash University,Australia/Oceania,Australia,Clayton,1,34
192,Advanced Migration Studies,Nagoya University,Asia,Japan,"Chikusa Ward, Nagoya",1,35
193,Advanced Migration Studies,National Autonomous University of Mexico,South America,Mexico,Mexico City,1,36
194,Advanced Migration Studies,National Chengchi University,Asia,China (Taiwan),Taipei,1,163
195,Advanced Migration Studies,National Taiwan University,Asia,China (Taiwan),Taipei City,1,37
196,Advanced Migration Studies,National University of Colombia,South America,Colombia,Bogota,1,38
197,Advanced Migration Studies,National University of Singapore,Asia,Singapore,Singapore,1,39
198,Advanced Migration Studies,New York University,North America,USA,New York City,1,40
199,Advanced Migration Studies,North Carolina State University,North America,USA,Raleigh,1,41
200,Advanced Migration Studies,Norwegian University of Science and Technology (NTNU),Europe,Norway,Trondheim,1,42
201,Advanced Migration Studies,Osaka University,Asia,Japan,Suita,1,43
202,Advanced Migration Studies,Osnabrück University,Europe,Germany,Osnabrueck,1,164
203,Advanced Migration Studies,Pompeu Fabra University,Europe,Spain,Barcelona,2,165
204,Advanced Migration Studies,Pompeu Fabra University,Europe,Spain,Barcelona,2,166
205,Advanced Migration Studies,Pontifical Catholic University of Rio de Janeiro,South America,Brazil,Rio de Janeiro,1,44
206,Advanced Migration Studies,Queensland University of Technology,Australia/Oceania,Australia,Brisbane,1,45
207,Advanced Migration Studies,Ritsumeikan University,Asia,Japan,"Kita Ward, Kyoto",1,46
208,Advanced Migration Studies,Seoul National University,Asia,South Korea,Seoul,1,47
209,Advanced Migration Studies,Simon Fraser University,North America,Canada,Burnaby,1,48
210,Advanced Migration Studies,Singapore Management University,Asia,Singapore,Singapore,1,49
211,Advanced Migration Studies,Sogang University,Asia,South Korea,Soul,1,167
212,Advanced Migration Studies,Sorbonne University,Europe,France,Paris,1,50
213,Advanced Migration Studies,Stellenbosch University,Africa,South Africa,Stellenbosch,1,51
214,Advanced Migration Studies,Stockholm University,Europe,Sweden,Stockholm,1,52
215,Advanced Migration Studies,Sungkyunkwan University,Asia,South Korea,Soul,2,53
216,Advanced Migration Studies,Sungkyunkwan University,Asia,South Korea,Soul,2,168
217,Advanced Migration Studies,Tampere University,Europe,Finland,Tampere,1,54
218,Advanced Migration Studies,Tsinghua University,Asia,China (Mainland),Beijing,1,56
219,Advanced Migration Studies,Tunghai University,Asia,China (Taiwan),Taichung City,1,169
220,Advanced Migration Studies,UiT The Arctic University of Norway,Europe,Norway,Tromsø,1,57
221,Advanced Migration Studies,Umeå University,Europe,Sweden,Umea,1,58
222,Advanced Migration Studies,Universidad de las Américas Puebla,South America,Mexico,Puebla,1,59
223,Advanced Migration Studies,UNIVERSITY OF LISBOA,Europe,Portugal,Lisboa,1,170
224,Advanced Migration Studies,Universidade Federal do Rio de Janeiro,South America,Brazil,Rio de Janeiro,1,60
225,Advanced Migration Studies,Universität Hamburg,Europe,Germany,Hamburg,1,171
226,Advanced Migration Studies,Université Côte d'Azur,Europe,France,Nice Cedex 4,1,172
227,Advanced Migration Studies,UNIVERSITY OF NEUCHATEL,Europe,Switzerland,Neuchâtel,1,173
228,Advanced Migration Studies,University College Cork,Europe,Ireland,Cork,1,174
229,Advanced Migration Studies,University of A Coruña,Europe,Spain,A Coruña,1,175
230,Advanced Migration Studies,University of Adelaide,Australia/Oceania,Australia,Adelaide,1,62
231,Advanced Migration Studies,University of Agder,Europe,Norway,Kristiansand,1,63
232,Advanced Migration Studies,University of Akureyri,Europe,Iceland,Akureyri,1,64
233,Advanced Migration Studies,University of Amsterdam,Europe,Netherlands,Amsterdam,1,176
234,Advanced Migration Studies,University of Auckland,Australia/Oceania,New Zealand,Auckland,1,66
235,Advanced Migration Studies,University of Belgrade,Europe,Serbia,Beograd,1,177
236,Advanced Migration Studies,University of Bergen,Europe,Norway,Bergen,2,68
237,Advanced Migration Studies,University of Bergen,Europe,Norway,Bergen,2,178
238,Advanced Migration Studies,UNIVERSITY OF BIRMINGHAM,Europe,United Kingdom,Birmingham,1,69
239,Advanced Migration Studies,University of Bologna,Europe,Italy,Bologna,1,179
240,Advanced Migration Studies,UNIVERSITY OF BRISTOL,Europe,United Kingdom,Bristol,1,70
241,Advanced Migration Studies,University of British Columbia,North America,Canada,Vancouver,1,71
242,Advanced Migration Studies,University of Buenos Aires,South America,Argentina,Buenos Aires,1,72
243,Advanced Migration Studies,University of Calgary,North America,Canada,Calgary,1,73
244,Advanced Migration Studies,University of California,North America,USA,Santa Barbara,1,74
245,Advanced Migration Studies,University of Canterbury Christchurch,Australia/Oceania,New Zealand,Christchurch,1,75
246,Advanced Migration Studies,University of Chile,South America,Chile,Santiago,1,76
247,Advanced Migration Studies,University of Colorado Boulder,North America,USA,Boulder,1,77
248,Advanced Migration Studies,University of Eastern Finland,Europe,Finland,Kuopio,1,78
249,Advanced Migration Studies,University of Edinburgh,Europe,United Kingdom,Edinburgh,1,79
250,Advanced Migration Studies,UNIVERSITY OF EXETER,Europe,United Kingdom,Exeter,1,80
251,Advanced Migration Studies,University of Geneva,Europe,Switzerland,Geneva,1,81
252,Advanced Migration Studies,University of Gothenburg,Europe,Sweden,Goeteborg,1,82
253,Advanced Migration Studies,University of Guelph,North America,Canada,Guelph,1,83
254,Advanced Migration Studies,University of Helsinki,Europe,Finland,Helsinki,1,84
255,Advanced Migration Studies,University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,85
256,Advanced Migration Studies,University of Iceland,Europe,Iceland,Reykjavik,2,86
257,Advanced Migration Studies,University of Iceland,Europe,Iceland,Reykjavik,2,180
258,Advanced Migration Studies,University of Jyväskylä,Europe,Finland,Jyvaskyla,1,88
259,Advanced Migration Studies,UNIVERSITY OF KENT,Europe,United Kingdom,Canterbury,1,89
260,Advanced Migration Studies,University of Klagenfurt,Europe,Austria,Klagenfurt,1,181
261,Advanced Migration Studies,University of Lapland,Europe,Finland,Rovaniemi,1,90
262,Advanced Migration Studies,THE UNIVERSITY OF LEEDS,Europe,United Kingdom,LEEDS,1,91
263,Advanced Migration Studies,University of Leuven,Europe,Belgium,Leuven,1,182
264,Advanced Migration Studies,University of Liège,Europe,Belgium,Liège,1,183
265,Advanced Migration Studies,University of Liverpool,Europe,United Kingdom,Liverpool,1,92
266,Advanced Migration Studies,University of Manchester,Europe,United Kingdom,MANCHESTER,1,93
267,Advanced Migration Studies,University of Melbourne,Australia/Oceania,Australia,Parkville,1,94
268,Advanced Migration Studies,University of Milan,Europe,Italy,Milano,1,95
269,Advanced Migration Studies,University of New South Wales,Australia/Oceania,Australia,Sydney,1,96
270,Advanced Migration Studies,University of North Carolina at Chapel Hill,North America,USA,Chapel Hill,1,97
271,Advanced Migration Studies,University of Nottingham Ningbo China,Asia,China (Mainland),Ningbo,1,98
272,Advanced Migration Studies,University of Oslo,Europe,Norway,Oslo,3,99
273,Advanced Migration Studies,University of Oslo,Europe,Norway,Oslo,3,100
274,Advanced Migration Studies,University of Oslo,Europe,Norway,Oslo,3,184
275,Advanced Migration Studies,University of Otago,Australia/Oceania,New Zealand,Dunedin,1,101
276,Advanced Migration Studies,University of Oulu,Europe,Finland,Oulu,1,102
277,Advanced Migration Studies,University of Pisa,Europe,Italy,Pisa,1,185
278,Advanced Migration Studies,University of Queensland,Australia/Oceania,Australia,Brisbane,1,103
279,Advanced Migration Studies,University of Salzburg,Europe,Austria,SALZBURG,1,186
280,Advanced Migration Studies,University of São Paulo,South America,Brazil,Butantã,1,104
281,Advanced Migration Studies,UNIVERSITY OF SHEFFIELD,Europe,United Kingdom,Sheffield,1,105
282,Advanced Migration Studies,University of South Florida,North America,USA,Tampa,1,106
283,Advanced Migration Studies,UNIVERSITY OF SOUTHAMPTON,Europe,United Kingdom,Southampton,1,107
284,Advanced Migration Studies,University of South-Eastern Norway (USN),Europe,Norway,Drammen,1,108
285,Advanced Migration Studies,UNIVERSITY OF ST ANDREWS,Europe,United Kingdom,St Andrews,1,109
286,Advanced Migration Studies,University of Stavanger,Europe,Norway,Stavanger,1,110
287,Advanced Migration Studies,University of Sydney,Australia/Oceania,Australia,Sydney,1,111
288,Advanced Migration Studies,University of Tartu,Europe,Estonia,Tartu,1,187
289,Advanced Migration Studies,University of Tasmania,Australia/Oceania,Australia,Hobart,1,112
290,Advanced Migration Studies,University of Technology Sydney,Australia/Oceania,Australia,Ultimo,1,113
291,Advanced Migration Studies,University of Texas at Austin,North America,USA,Austin,1,114
292,Advanced Migration Studies,University of the Andes,South America,Colombia,Bogotá,1,115
293,Advanced Migration Studies,University of the Faroe Islands,Europe,Faroe Islands,Tórshavn,2,116
294,Advanced Migration Studies,University of the Faroe Islands,Europe,Faroe Islands,Tórshavn,2,117
295,Advanced Migration Studies,University of Tokyo,Asia,Japan,"Bunkyo City, Tokyo",1,118
296,Advanced Migration Studies,University of Toronto - Mississauga,North America,Canada,Mississauga,1,119
297,Advanced Migration Studies,University of Toronto - Scarborough,North America,Canada,Scarborough,1,120
298,Advanced Migration Studies,University of Toronto - St. George,North America,Canada,Toronto,1,121
299,Advanced Migration Studies,University of Turku,Europe,Finland,Turku,1,122
300,Advanced Migration Studies,University of Vaasa,Europe,Finland,Vaasa,1,123
301,Advanced Migration Studies,University of Victoria,North America,Canada,Victoria,1,124
302,Advanced Migration Studies,University of Warsaw,Europe,Poland,Warszawa,1,125
303,Advanced Migration Studies,University of Washington,North America,USA,Seattle,1,126
304,Advanced Migration Studies,University of Western Australia,Australia/Oceania,Australia,Perth,1,127
305,Advanced Migration Studies,University of Wisconsin-Madison,North America,USA,Madison,1,128
306,Advanced Migration Studies,University of Wollongong,Australia/Oceania,Australia,Wollongong,1,129
307,Advanced Migration Studies,University of Zurich,Europe,Switzerland,Zurich,1,188
308,Advanced Migration Studies,Uppsala University,Europe,Sweden,Uppsala,1,189
309,Advanced Migration Studies,Victoria University of Wellington,Australia/Oceania,New Zealand,Wellington,1,131
310,Advanced Migration Studies,Waseda University,Asia,Japan,"Shinjuku City, Tokyo",2,132
311,Advanced Migration Studies,Waseda University,Asia,Japan,"Shinjuku City, Tokyo",2,190
312,Advanced Migration Studies,Western Sydney University,Australia/Oceania,Australia,Penrith,1,133
313,Advanced Migration Studies,Western University,North America,Canada,London,1,134
314,Advanced Migration Studies,Yeungnam University,Asia,South Korea,Gyeongbuk,1,191
315,Advanced Migration Studies,Yonsei University,Asia,South Korea,Seoul,1,135
316,Advanced Migration Studies,York University,North America,Canada,Toronto,1,136
317,African Studies,Åbo Akademi University,Europe,Finland,Abo,1,0
318,African Studies,Arizona State University,North America,USA,Tempe,1,1
319,African Studies,Australian National University,Australia/Oceania,Australia,Canbarra,1,2
320,African Studies,Barnard College,North America,USA,New York City,1,3
321,African Studies,Boston College,North America,USA,Chestnut Hill,1,4
322,African Studies,Boston University,North America,USA,Boston,1,5
323,African Studies,Charles University (Prague),Europe,Czech Republic,Praha 1,1,7
324,African Studies,Chinese University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,8
325,African Studies,Chuo University,Asia,Japan,"Hachioji-shi, Tokyo",1,9
326,African Studies,City University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,10
327,African Studies,Concordia University,North America,Canada,Montréal,1,11
328,African Studies,Cornell University,North America,USA,Ithaca,1,12
329,African Studies,Deakin University,Australia/Oceania,Australia,Melbourne,1,13
330,African Studies,Ewha Womans University,Asia,South Korea,Seoul,1,15
331,African Studies,Fudan University,Asia,China (Mainland),Shanghai,1,16
332,African Studies,Griffith University,Australia/Oceania,Australia,Mount Gravatt,1,18
333,African Studies,Heidelberg University,Europe,Germany,HEIDELBERG,1,19
334,African Studies,Ilisimatusarfik - University of Greenland,Europe,Greenland,Nuuk,1,22
335,African Studies,Karlstad University,Europe,Sweden,Karlstad,1,23
336,African Studies,Korea University,Asia,South Korea,Soul,1,24
337,African Studies,Linköping University,Europe,Sweden,Linköping,1,25
